,Size,Mouth,Lung,Trachea,Product,Inlet,Flowrate,Flow,RampTimeInhalation,BolusDelay,DeviceType,inlet,InhalationProfile
29,1.0134e-05,0.7789749587436303,0.22102504125636963,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
30,1.0466e-05,0.8014542178910729,0.19854578210892712,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
31,1.0799e-05,0.8184046956623845,0.18159530433761556,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
32,1.1131e-05,0.8396536792228295,0.16034632077717054,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
33,1.1463e-05,0.8490036772794417,0.15090203350410156,9.428921645661121e-05,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
34,1.1795e-05,0.8635962631079096,0.1363092144667611,9.45224253291953e-05,PT010,large,15,,"0,4",0,nondfp,1.9795838892000275e-05,trapezoid
35,1.2128e-05,0.87487172976481,0.12505667745476848,7.159278042150502e-05,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
36,1.246e-05,0.8838191474476987,0.1160374193997221,0.00014343315257907957,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
37,1.2792e-05,0.8943351235340209,0.10549454082326859,0.00017033564271060148,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
38,1.3124e-05,0.90288285451487,0.09701770813480391,9.943735032607165e-05,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
39,1.3456e-05,0.9135746418362397,0.08622356726939027,0.00020179089436994554,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
40,1.3789e-05,0.9197685944062128,0.0801288625259314,0.00010254306785570165,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
41,1.4121e-05,0.9276800228388596,0.07203576146940666,0.00028421569173359666,PT010,large,15,,"0,4",0,nondfp,1.954703003082723e-05,trapezoid
42,1.4453e-05,0.9330147286156703,0.06669852680283343,0.0002867445814963403,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
43,1.4785e-05,0.9382677276306427,0.06147054707567309,0.00026172529368412127,PT010,large,15,,"0,4",0,nondfp,1.95020477490564e-05,trapezoid
44,1.5117e-05,0.9431694463444851,0.05643861880271841,0.0003919348527966072,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
45,1.545e-05,0.9479503169969079,0.05155734448148972,0.0004923385216024228,PT010,large,15,,"0,4",0,nondfp,1.946977317714249e-05,trapezoid
46,1.5782e-05,0.9547474578856205,0.04502179260784727,0.0002307495065322219,PT010,large,15,,"0,4",0,nondfp,1.946105825751324e-05,trapezoid
47,1.6114e-05,0.9582827567014439,0.04123676585611604,0.00048047744244015335,PT010,large,15,,"0,4",0,nondfp,3.8872943755039446e-05,trapezoid
48,1.6446e-05,0.9605255537261198,0.03920140986075136,0.00027303641312884574,PT010,large,15,,"0,4",0,nondfp,3.889259809037344e-05,trapezoid
49,1.6779e-05,0.9651231595786224,0.03453642040727028,0.0003404200141072527,PT010,large,15,,"0,4",0,nondfp,1.9426654707819168e-05,trapezoid
50,1.7111e-05,0.9667220235053654,0.03275102197240667,0.0005269545222278976,PT010,large,15,,"0,4",0,nondfp,1.9428919298745544e-05,trapezoid
51,1.7443e-05,0.9707937857109129,0.028686782830429153,0.0005194314586579433,PT010,large,15,,"0,4",0,nondfp,1.9425145202960395e-05,trapezoid
52,1.7775e-05,0.9740697140754232,0.025556066522478025,0.00037421940209879124,PT010,large,15,,"0,4",0,nondfp,9.70917777385639e-05,trapezoid
53,1.8107e-05,0.9744476790796457,0.0251121630803846,0.0004401578399697494,PT010,large,15,,"0,4",0,nondfp,0.0001358994605803,trapezoid
54,1.844e-05,0.9768750670899082,0.022618883317231747,0.0005060495928600137,PT010,large,15,,"0,4",0,nondfp,7.759205974588601e-05,trapezoid
55,1.8772e-05,0.9782336886083286,0.021331747556531368,0.0004345638351401422,PT010,large,15,,"0,4",0,nondfp,9.696687611511908e-05,trapezoid
56,1.9104e-05,0.9808272230471322,0.018920201448099496,0.00025257550476831363,PT010,large,15,,"0,4",0,nondfp,7.758754461283813e-05,trapezoid
57,1.9436e-05,0.9817694780084202,0.017679473467904966,0.0005510485236748847,PT010,large,15,,"0,4",0,nondfp,0.0001163339303653,trapezoid
58,1.9768e-05,0.9822064327646329,0.0171531817821663,0.0006403854532008259,PT010,large,15,,"0,4",0,nondfp,0.0001163542344741,trapezoid
59,2.0101e-05,0.9820866231573184,0.017456985075989116,0.0004563917666924482,PT010,large,15,,"0,4",0,nondfp,5.8156816625095294e-05,trapezoid
60,2.0433e-05,0.9844855556281717,0.015034616195380006,0.0004798281764482843,PT010,large,15,,"0,4",0,nondfp,5.8134277354687546e-05,trapezoid
61,2.0765e-05,0.9849004804392589,0.014756348661633395,0.0003431708991076408,PT010,large,15,,"0,4",0,nondfp,0.0001356808270069,trapezoid
