,Size,nozzle,inlet,Mouth,Lung,Trachea,Product,Inlet,Flowrate,Flow,RampTimeInhalation,BolusDelay,DeviceType,InhalationProfile
2,1.1644e-06,0.0801860075303719,0.0,0.02695793937967114,0.9730420606203288,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
3,1.4966e-06,0.0629054254702475,0.0004112880536595,0.03195776899579464,0.9680422310042054,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
4,1.8289e-06,0.0513678451056856,0.0013257575754437,0.03862857142857132,0.9613714285714288,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
5,2.1611e-06,0.0402559739892953,0.0027484828237044,0.042393185145747234,0.9576068148542527,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
6,2.4933e-06,0.0311895862868926,0.0041513759912088,0.0478567307933479,0.9521432692066522,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
7,2.8255e-06,0.0252606981944173,0.0059022205510082,0.053197848176927506,0.9468021518230725,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
8,3.1577e-06,0.0200102616336333,0.0080560793589952,0.061646421939454334,0.9383535780605456,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
9,3.4899e-06,0.0160582590684819,0.0091195051500021,0.06521050965495372,0.9347894903450462,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
10,3.8221e-06,0.0112318294178201,0.0104253407906211,0.07220755366777602,0.9277924463322239,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
11,4.1544e-06,0.0089237954734685,0.0106067919882016,0.08205730575266564,0.9179426942473344,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
12,4.4866e-06,0.0070587929138827,0.0106304770703081,0.09060617126163936,0.9093938287383606,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
13,4.8188e-06,0.0055715894115932,0.0112402448408101,0.10997846374730762,0.8900215362526923,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
14,5.151e-06,0.0044868018034009,0.0111684460474266,0.11610603007285647,0.8838939699271436,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
15,5.4832e-06,0.0038873381165011,0.0113138945181749,0.1331365797671746,0.8668634202328255,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
16,5.8154e-06,0.0024892742488695,0.0107096682800201,0.15186876374090952,0.8481312362590905,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
17,6.1477e-06,0.0021609384647046,0.0112484564725252,0.1749209694415168,0.8250790305584833,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
18,6.4799e-06,0.0016175205720374,0.0102828093508094,0.2076717216770737,0.7923282783229263,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
19,6.8121e-06,0.0011337577985882,0.0095504682355654,0.22418405564472937,0.7758159443552707,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
20,7.1443e-06,0.0011719875727425,0.0094911780481116,0.25905733380232104,0.740942666197679,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
21,7.4765e-06,0.0007484120232071,0.0097293563016932,0.28243601059135026,0.7175639894086497,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
22,7.8087e-06,0.0006719354941925,0.008236009343103,0.3194468452895418,0.6805531547104582,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
23,8.1409e-06,0.0003450567426643,0.0084730600143134,0.34743661971830947,0.6525633802816906,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
24,8.4732e-06,0.0004214855444969,0.0076633735363086,0.37835170258266143,0.6216482974173386,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
25,8.8054e-06,0.0004791995458589,0.0071304892423812,0.42113515208529306,0.5788648479147069,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
26,9.1376e-06,0.0005299690168495,0.0071641562236102,0.44986949178565944,0.5501305082143406,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
27,9.4698e-06,0.0003063529957893,0.0054760597997346,0.48418944054943497,0.515810559450565,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
28,9.802e-06,0.0003250457299108,0.0051242503303593,0.5248451479697178,0.4751548520302822,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
29,1.0134e-05,0.0002869751542118,0.0049359726524431,0.546803801588335,0.4531961984116651,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
30,1.0466e-05,0.0002674852564674,0.0041078092957495,0.5781520931384694,0.4218479068615307,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
31,1.0799e-05,0.000267613082711,0.003364278754082,0.6095584132471304,0.39044158675286944,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
32,1.1131e-05,0.0003630157052057,0.0031716108981135,0.6421518556350019,0.35784814436499807,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
33,1.1463e-05,0.0002864271715091,0.0034753163476447,0.6551872578562207,0.34481274214377944,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
34,1.1795e-05,0.0002229256765794,0.0028470793551715,0.6825038481272446,0.3174961518727553,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
35,1.2128e-05,0.000152697010956,0.0025004135544046,0.7090144345664854,0.29098556543351467,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
